cbsa_code,cbsa_name,cbsa_name_full,cbsa_type,is_metropolitan,is_micropolitan,lsad_code,aland,awater,intptlat,intptlon,hcv_25,hcv_occupied,hcv_pct_occupied,hcv_reported,hcv_pct_reported,hcv_months_since_report,hcv_pct_movein,hcv_people_per_unit,hcv_people_total,hcv_rent_per_month,hcv_spending_per_month,hcv_hh_income,hcv_person_income,hcv_pct_lt80_median,hcv_pct_lt50_median,hcv_pct_lt30_median,hcv_months_waiting,hcv_months_from_movein,hcv_pct_utility_allow,hcv_ave_util_allow,hcv_pct_overhoused,median_hh_income,median_gross_rent,poverty_rate,unemployment_rate,ba_plus_share,pop_65plus_share,minority_share,rent_burdened_share,severe_rent_burdened_share,hcv_median_gross_rent,hcv_median_hh_income,hcv_high_poverty_rate_share,high_poverty_rate_share,aqv_30,aqv_50,aqv_80,aqv_100,aqv_all,pvn_30,pvn_50,pvn_80,pvn_100,pvn_all,vng_30,vng_50,vng_80,vng_100,vng_all,em_30,em_50,em_80,em_100,em_all,recap_share,rcaa_share,hcv_coi_idx,hcv_coi_edu,hcv_coi_health_env,hcv_coi_eco,renter_coi_idx,renter_coi_edu,renter_coi_health_env,renter_coi_eco
11100,"Amarillo, TX","Amarillo, TX Metro Area",Metropolitan Statistical Area,True,False,M1,13340979939,84943239,35.2479988,-101.9086699,3501.0,2325.0,66.0,2274.0,98.0,5.0,11.0,2.2,4992.0,364.0,778.0,14399.0,6559.0,100.0,98.0,82.0,17.0,83.0,72.0,154.0,19.0,69611.0,1086.0,0.1435407063999114,0.0320997063504516,0.2706174699641875,0.1535137560358491,0.434776052986757,0.4311808316321048,0.1866337165574298,1052.0,53876.0560320183,0.3387096774193548,0.3098591549295774,230.0,1960.0,3124.0,,3489.0,7769.0,14062.0,21941.0,26160.0,36335.0,4271.0,10564.0,18443.0,22662.0,32837.0,4041.0,8604.0,15319.0,,29348.0,0.0357347055460263,0.0,22.756432246998283,33.567467124070895,13.575757575757576,24.542595769010862,34.47130865556626,43.7798266134581,19.861153158112018,35.74721343057658
11140,"Americus, GA","Americus, GA Micro Area",Micropolitan Statistical Area,False,True,M2,1682937494,27581090,32.0983551,-84.2243044,719.0,659.0,92.0,629.0,95.0,6.0,11.0,2.4,1515.0,377.0,640.0,14693.0,6100.0,100.0,95.0,70.0,11.0,106.0,100.0,242.0,30.0,43688.0,854.0,0.2235423197492163,0.050878573301862,0.215256588072122,0.1731101447548698,0.5557872162983261,0.4125269978401727,0.1816218338896524,856.141061452514,42706.14245810056,0.75,0.6,14.0,284.0,418.0,,424.0,1280.0,2190.0,3339.0,3739.0,5005.0,564.0,1474.0,2623.0,3023.0,4289.0,550.0,1190.0,2205.0,,3865.0,0.0,0.0,12.337988826815645,21.27513966480447,17.854748603351954,11.87290502793296,14.616383616383615,23.975024975024976,18.41058941058941,13.762237762237762
11180,"Ames, IA","Ames, IA Metro Area",Metropolitan Statistical Area,True,False,M1,2960435880,11005427,42.0361281,-93.6980079,411.0,399.0,97.0,386.0,97.0,5.0,5.0,1.9,739.0,437.0,645.0,16618.0,8680.0,100.0,100.0,89.0,19.0,79.0,94.0,135.0,31.0,73127.0,1000.0,0.1545947180284387,0.0410434782608695,0.478768004649039,0.146294460962449,0.1651957776833892,0.4542376359532116,0.2484609070387851,965.0,60981.56934306569,0.2142857142857142,0.2352941176470588,344.0,1022.0,1277.0,,1448.0,6659.0,10369.0,14422.0,16421.0,19220.0,6248.0,9958.0,14011.0,16010.0,18809.0,5904.0,8936.0,12734.0,,17361.0,0.0,0.0,66.62773722627738,87.92700729927007,57.518248175182485,49.42579075425791,69.88969823100936,89.22606659729449,61.52185223725286,53.4232570239334
11200,"Amherst Town-Northampton, MA","Amherst Town-Northampton, MA Metro Area",Metropolitan Statistical Area,True,False,M1,1365533874,46625893,42.33946,-72.6636919,1444.0,1277.0,88.0,1278.0,100.0,7.0,5.0,1.8,2237.0,462.0,1134.0,19760.0,11289.0,100.0,96.0,82.0,28.0,153.0,69.0,171.0,18.0,87001.0,1388.0,0.1131478913216875,0.0499588345606732,0.5160464931767693,0.1940281926580591,0.1966141654528846,0.523002300230023,0.2614261426142614,1378.848845346396,74469.54006968641,0.15625,0.1764705882352941,350.0,625.0,1211.0,,1443.0,5087.0,8460.0,12304.0,14124.0,19105.0,3650.0,7023.0,10867.0,12687.0,17668.0,3300.0,6398.0,9656.0,,16225.0,0.0,0.0,77.67153792623522,82.9652052887961,81.08629088378567,67.67640918580376,78.60664747448313,85.47657681235279,79.38602460088983,68.33629939806333
11220,"Amsterdam, NY","Amsterdam, NY Micro Area",Micropolitan Statistical Area,False,True,M2,1044052635,18613523,42.9008912,-74.4353575,873.0,763.0,87.0,724.0,95.0,6.0,13.0,2.1,1553.0,442.0,621.0,17094.0,7969.0,100.0,96.0,75.0,11.0,86.0,94.0,148.0,35.0,64943.0,940.0,0.145755965448614,0.0473264696114247,0.2292352992624121,0.1943547084477467,0.2295267323534162,0.4094745908699397,0.2248062015503876,904.972286374134,58854.87297921478,0.3125,0.3125,94.0,273.0,293.0,,294.0,1595.0,2939.0,4299.0,4854.0,5915.0,729.0,2073.0,3433.0,3988.0,5049.0,635.0,1800.0,3140.0,,4755.0,0.0,0.0,26.62240184757506,18.26905311778291,47.54272517321016,27.161662817551964,26.890955198647507,18.438715131022825,47.11242603550296,27.935756551141168
11260,"Anchorage, AK","Anchorage, AK Metro Area",Metropolitan Statistical Area,True,False,M1,68412337370,2066936277,62.2127844,-149.6782218,3143.0,2686.0,85.0,3004.0,100.0,8.0,16.0,1.9,5696.0,612.0,830.0,22261.0,11740.0,100.0,97.0,77.0,-1.0,90.0,68.0,117.0,26.0,100505.0,1458.0,0.0925396465732987,0.0488884664639026,0.3467033726415975,0.1310590003084853,0.3977047695813556,0.4482922888921107,0.1986495722955199,1352.1433588761174,79396.26994256541,0.0769230769230769,0.0714285714285714,202.0,2114.0,3984.0,,4377.0,10448.0,18515.0,29250.0,35458.0,48024.0,7314.0,15381.0,26116.0,32324.0,44890.0,7112.0,13267.0,22132.0,,40513.0,0.1343331206126356,0.0,42.87428206764518,37.81014677728143,53.033184428844926,43.179004467134654,49.48885973679827,42.398092620356486,54.45389805097451,51.015200732966846
11360,"Anderson Creek, NC","Anderson Creek, NC Micro Area",Micropolitan Statistical Area,False,True,M2,1540870410,16294103,35.3686603,-78.8716648,351.0,278.0,79.0,234.0,84.0,11.0,1.0,2.6,612.0,474.0,577.0,17580.0,6722.0,100.0,95.0,68.0,14.0,100.0,99.0,200.0,31.0,71287.0,1112.0,0.1374531008607371,0.0469127111826226,0.2446589083329714,0.1370679123248293,0.417599712540424,0.4041963852918773,0.1706945502389031,1056.806267806268,64949.03133903134,0.25,0.25,189.0,684.0,987.0,,1080.0,3145.0,5640.0,8215.0,9824.0,15150.0,2794.0,5289.0,7864.0,9473.0,14799.0,2605.0,4605.0,6877.0,,13719.0,0.0,0.0,31.247863247863247,36.60683760683761,26.76068376068376,30.427350427350422,31.786798679867985,37.51650165016502,26.19537953795379,31.271947194719473
11380,"Andrews, TX","Andrews, TX Micro Area",Micropolitan Statistical Area,False,True,M2,3886850258,957039,32.3122581,-102.6402058,18.0,19.0,102.0,18.0,97.0,6.0,6.0,1.9,34.0,323.0,1088.0,13620.0,7211.0,100.0,100.0,89.0,23.0,47.0,100.0,111.0,11.0,72242.0,1305.0,0.1559259460339866,0.0331954845199508,0.1768363087307931,0.0970445996775926,0.6118753358409457,0.3244897959183673,0.1884353741496598,1266.888888888889,68670.55555555556,0.3333333333333333,0.25,0.0,25.0,25.0,,25.0,165.0,495.0,810.0,1060.0,1815.0,147.0,477.0,792.0,1042.0,1797.0,147.0,452.0,767.0,,1772.0,0.0,0.0,26.22222222222222,25.555555555555557,14.11111111111111,34.77777777777778,31.457300275482098,26.94490358126722,18.484848484848484,40.39944903581267
11420,"Angola, IN","Angola, IN Micro Area",Micropolitan Statistical Area,False,True,M2,799737097,35446880,41.643467,-85.0024051,24.0,20.0,85.0,20.0,100.0,6.0,15.0,1.3,26.0,429.0,757.0,16452.0,12655.0,100.0,100.0,85.0,28.0,43.0,80.0,218.0,45.0,74911.0,933.0,0.0933530906011854,0.0724159508504465,0.2563974535014355,0.2186546103783908,0.0862178195012383,0.4123354123354123,0.1857241857241857,927.9130434782608,69923.82608695653,0.2,0.1111111111111111,4.0,8.0,58.0,,60.0,484.0,1033.0,1733.0,2037.0,2770.0,461.0,1010.0,1710.0,2014.0,2747.0,457.0,1002.0,1652.0,,2687.0,0.0,0.0,41.95652173913044,52.78260869565217,50.65217391304348,35.56521739130435,43.25451263537906,54.31768953068592,39.59747292418773,40.10649819494585
11460,"Ann Arbor, MI","Ann Arbor, MI Metro Area",Metropolitan Statistical Area,True,False,M1,1828539918,42523115,42.2522168,-83.8434233,3859.0,3237.0,84.0,3482.0,100.0,5.0,7.0,2.1,7197.0,467.0,1082.0,17196.0,8320.0,100.0,98.0,86.0,33.0,114.0,78.0,191.0,23.0,89180.0,1463.0,0.141717623748847,0.0459095387096938,0.5871340445972595,0.1574865746223859,0.3284066388695101,0.5284344605586515,0.2988473919213596,1389.5003973509934,63332.414056330614,0.275,0.2596153846153846,149.0,847.0,1557.0,,1972.0,17570.0,27758.0,39457.0,45053.0,57648.0,13771.0,23959.0,35658.0,41254.0,53849.0,13622.0,23112.0,34101.0,,51877.0,0.0826533298236378,0.0,57.56146354303764,59.202684917083445,83.64332719136615,49.91129244538036,71.33494657230086,73.78908201498751,85.42726547321676,62.29895226200389
